,precision,recall,f1-score,support
Carabidae,0.967741935483871,0.9090909090909091,0.9375,33.0
Cerambycidae,0.9428571428571428,0.9705882352941176,0.9565217391304348,68.0
Chrysomelidae,0.9134615384615384,0.9644670050761421,0.9382716049382716,197.0
Corylophidae,0.9032258064516129,0.9032258064516129,0.9032258064516129,31.0
Curculionidae,0.9646017699115044,0.9045643153526971,0.9336188436830836,241.0
Other,0.896414342629482,0.9146341463414634,0.9054325955734407,246.0
Ptilodactylidae,0.9024390243902439,0.9024390243902439,0.9024390243902439,41.0
Scarabaeidae,0.9632352941176471,0.9924242424242424,0.9776119402985075,132.0
Staphylinidae,0.9,0.8181818181818182,0.8571428571428571,55.0
accuracy,0.9291187739463601,0.9291187739463601,0.9291187739463601,0.9291187739463601
macro avg,0.9282196504781159,0.9199572780670275,0.9235293790676058,1044.0
weighted avg,0.9297276880471562,0.9291187739463601,0.9288761279067611,1044.0
